time,latitude,longitude
2016-06-16T15:58:07.914086103439,27.46761567,-80.31823831
2016-06-16T15:58:12.85057592392,27.46760967,-80.31820669
2016-06-16T15:58:17.748717069626,27.46760757,-80.31817677
2016-06-16T15:58:22.664824962616,27.46760547,-80.31814685
2016-06-16T15:58:27.680533885956,27.46759466,-80.31810696
2016-06-16T15:58:32.599164009094,27.46759256,-80.31807704
2016-06-16T15:58:37.601152896881,27.46758586,-80.31803545
2016-06-16T15:58:42.607692956924,27.46757575,-80.31800553
2016-06-16T15:58:47.602401018143,27.46756564,-80.31797561
2016-06-16T15:58:52.601594924927,27.46756354,-80.31794569
2016-06-16T15:58:57.493645906448,27.46755684,-80.31790409
2016-06-16T15:59:02.390131950378,27.46754673,-80.31787418
2016-06-16T15:59:07.384211063385,27.46754463,-80.31784426
2016-06-16T15:59:12.291757106781,27.46753863,-80.31781263
2016-06-16T15:59:17.242974042892,27.46752852,-80.31778271
2016-06-16T15:59:22.188224077225,27.46751841,-80.3177528
2016-06-16T15:59:27.0964069366455,27.46752042,-80.31772117
2016-06-16T15:59:32.119173049927,27.46751031,-80.31769125
2016-06-16T15:59:37.19213104248,27.46750751,-80.31765136
2016-06-16T15:59:42.114558935165,27.4674981,-80.31763142
2016-06-16T15:59:47.0113151073456,27.467488,-80.3176015
2016-06-16T15:59:51.908231973648,27.46748519,-80.3175616
2016-06-16T15:59:56.805969953537,27.4674879,-80.31753996
2016-06-16T16:00:01.804266929626,27.46747779,-80.31751004
2016-06-16T16:00:06.720527887344,27.46747569,-80.31748012
2016-06-16T16:00:11.616626977921,27.46747429,-80.31746017
2016-06-16T16:00:16.616276979446,27.46746829,-80.31742855
2016-06-16T16:00:21.609726905823,27.46746619,-80.31739863
2016-06-16T16:00:26.620316982269,27.46746409,-80.31736871
2016-06-16T16:00:31.621843099594,27.46745398,-80.31733879
2016-06-16T16:00:36.525005102158,27.46745598,-80.31730717
2016-06-16T16:00:41.521012067795,27.46745388,-80.31727725
2016-06-16T16:00:46.427165985107,27.46744447,-80.3172573
2016-06-16T16:00:51.444242954254,27.46744237,-80.31722738
2016-06-16T16:00:57.234055995941,27.46744368,-80.31718579
2016-06-16T16:01:02.29890704155,27.46743357,-80.31715587
2016-06-16T16:01:07.149166107178,27.46743147,-80.31712595
2016-06-16T16:01:12.207952976227,27.46743347,-80.31709433
2016-06-16T16:01:17.145987987518,27.46743137,-80.31706441
2016-06-16T16:01:22.0413498878479,27.46742537,-80.31703279
2016-06-16T16:01:27.0431690216064,27.46742327,-80.31700287
2016-06-16T16:01:32.0424609184265,27.46742457,-80.31696128
2016-06-16T16:01:36.939380884171,27.46741446,-80.31693136
2016-06-16T16:01:42.590677976608,27.46741646,-80.31689974
2016-06-16T16:01:47.608340978622,27.46740636,-80.31686982
2016-06-16T16:01:52.501374959946,27.46740836,-80.3168382
2016-06-16T16:01:57.495573997498,27.46740626,-80.31680828
2016-06-16T16:02:02.393397092819,27.46740416,-80.31677836
2016-06-16T16:02:07.292406082153,27.46740616,-80.31674674
2016-06-16T16:02:12.241770029068,27.46739605,-80.31671682
2016-06-16T16:02:17.204265117645,27.46739325,-80.31667692
2016-06-16T16:02:22.138132095337,27.46739526,-80.3166453
2016-06-16T16:02:27.19225692749,27.46738515,-80.31661538
2016-06-16T16:02:32.110325098038,27.46738715,-80.31658376
2016-06-16T16:02:37.1557700634,27.46738505,-80.31655384
2016-06-16T16:02:42.0484058856964,27.46738295,-80.31652392
2016-06-16T16:02:46.943414926529,27.46738495,-80.3164923
2016-06-16T16:02:51.937011957169,27.46738285,-80.31646238
2016-06-16T16:02:56.937850952148,27.46737204,-80.31642249
2016-06-16T16:03:01.947510957718,27.46737405,-80.31639087
2016-06-16T16:03:06.845375061035,27.46737125,-80.31635098
2016-06-16T16:03:11.838274002075,27.46737325,-80.31631935
2016-06-16T16:03:16.849750041962,27.46737115,-80.31628944
2016-06-16T16:03:21.763170957565,27.46736104,-80.31625952
2016-06-16T16:03:26.657870054245,27.46736234,-80.31621792
2016-06-16T16:03:31.656302928925,27.46736024,-80.316188
2016-06-16T16:03:36.650434017181,27.46735744,-80.31614811
2016-06-16T16:03:41.652457952499,27.46735144,-80.31611649
2016-06-16T16:03:46.647947072983,27.46734864,-80.3160766
2016-06-16T16:03:51.642909049988,27.46734263,-80.31604498
2016-06-16T16:03:56.641415119171,27.46733983,-80.31600508
2016-06-16T16:04:01.644181013107,27.46734183,-80.31597346
2016-06-16T16:04:06.659073114395,27.46733103,-80.31593357
2016-06-16T16:04:11.656454086304,27.46732893,-80.31590365
2016-06-16T16:04:16.649900913239,27.46733023,-80.31586206
2016-06-16T16:04:21.554630041122,27.46731942,-80.31582216
2016-06-16T16:04:26.456393957138,27.46732212,-80.31580052
2016-06-16T16:04:31.371531963348,27.46731932,-80.31576062
2016-06-16T16:04:36.291769981384,27.46732063,-80.31571903
2016-06-16T16:04:41.290360927582,27.46730982,-80.31567914
2016-06-16T16:04:46.205667972565,27.46730772,-80.31564922
2016-06-16T16:04:51.107656002045,27.46730902,-80.31560762
2016-06-16T16:04:56.00725603103638,27.46730622,-80.31556773
2016-06-16T16:05:00.887412071228,27.46730021,-80.31553611
2016-06-16T16:05:05.797766923904,27.46729811,-80.31550619
2016-06-16T16:05:10.70904302597,27.46729531,-80.3154663
2016-06-16T16:05:15.724173069,27.46728861,-80.3154247
2016-06-16T16:05:20.615581035614,27.46728651,-80.31539478
2016-06-16T16:05:25.507297992706,27.46728851,-80.31536316
2016-06-16T16:05:30.434505939484,27.46728571,-80.31532327
2016-06-16T16:05:35.433059930801,27.4672749,-80.31528338
2016-06-16T16:05:40.337574958801,27.4672769,-80.31525176
2016-06-16T16:05:45.236315965652,27.4672782,-80.31521016
2016-06-16T16:05:50.25496506691,27.4672674,-80.31517027
2016-06-16T16:05:55.159259080887,27.4672687,-80.31512868
2016-06-16T16:06:00.1524310112,27.4672659,-80.31508878
2016-06-16T16:06:05.0442550182343,27.46725989,-80.31505716
2016-06-16T16:06:10.0378520488739,27.46725779,-80.31502724
2016-06-16T16:06:15.0346579551697,27.46725909,-80.31498565
2016-06-16T16:06:19.949453115463,27.46724759,-80.31493578
2016-06-16T16:06:24.849033117294,27.46724959,-80.31490416
2016-06-16T16:06:29.76645898819,27.46724679,-80.31486427
2016-06-16T16:06:34.665270090103,27.46724879,-80.31483265
2016-06-16T16:06:39.66015291214,27.46724599,-80.31479276
2016-06-16T16:06:44.555319070816,27.46723998,-80.31476114
2016-06-16T16:06:49.465611934662,27.46724129,-80.31471954
2016-06-16T16:06:54.37447810173,27.46723048,-80.31467965
2016-06-16T16:06:59.371099948883,27.46723178,-80.31463805
2016-06-16T16:07:04.265108108521,27.46722898,-80.31459816
2016-06-16T16:07:09.157794952393,27.46722227,-80.31455657
2016-06-16T16:07:14.0577540397644,27.46721947,-80.31451668
2016-06-16T16:07:18.960562944412,27.46722077,-80.31447508
2016-06-16T16:07:23.868814945221,27.46721797,-80.31443519
2016-06-16T16:07:28.867649078369,27.46720786,-80.31440527
2016-06-16T16:07:33.766310930252,27.46720917,-80.31436368
2016-06-16T16:07:38.763103961945,27.46720637,-80.31432378
2016-06-16T16:07:43.667515993118,27.46719966,-80.31428219
2016-06-16T16:07:48.55999994278,27.46719686,-80.3142423
2016-06-16T16:07:53.460238933563,27.46719816,-80.3142007
2016-06-16T16:07:58.370671987534,27.46719946,-80.31415911
2016-06-16T16:08:03.27672290802,27.46718865,-80.31411922
2016-06-16T16:08:08.1812479496,27.46718996,-80.31407762
2016-06-16T16:08:13.0772941112518,27.46718715,-80.31403773
2016-06-16T16:08:17.886200904846,27.46717635,-80.31399784
2016-06-16T16:08:22.811331987381,27.46716964,-80.31395624
2016-06-16T16:08:27.808645009995,27.46717094,-80.31391465
2016-06-16T16:08:32.802170991898,27.46716884,-80.31388473
2016-06-16T16:08:37.633800983429,27.46716214,-80.31384314
2016-06-16T16:08:42.633635044098,27.46716414,-80.31381151
2016-06-16T16:08:47.635540962219,27.46716064,-80.31376165
2016-06-16T16:08:52.631630897522,27.46716194,-80.31372006
2016-06-16T16:08:57.633465051651,27.46715113,-80.31368016
2016-06-16T16:09:02.637752056122,27.46715243,-80.31363857
2016-06-16T16:09:07.636215925217,27.46714963,-80.31359868
2016-06-16T16:09:12.533545970917,27.46715093,-80.31355708
2016-06-16T16:09:17.428669929504,27.46714012,-80.31351719
2016-06-16T16:09:22.425421953201,27.46713732,-80.3134773
2016-06-16T16:09:27.32124710083,27.46713862,-80.3134357
2016-06-16T16:09:32.277405023575,27.46713192,-80.31339411
2016-06-16T16:09:37.227611064911,27.46712912,-80.31335422
2016-06-16T16:09:42.183933019638,27.46712632,-80.31331433
2016-06-16T16:09:47.0894310474396,27.46712762,-80.31327273
2016-06-16T16:09:51.985865116119,27.46712411,-80.31322287
2016-06-16T16:09:56.985843896866,27.46711741,-80.31318127
2016-06-16T16:10:01.86670088768,27.46711461,-80.31314138
2016-06-16T16:10:06.767786979675,27.46711591,-80.31309979
2016-06-16T16:10:11.768796920776,27.46711721,-80.31305819
2016-06-16T16:10:16.669529914856,27.4671064,-80.3130183
2016-06-16T16:10:21.573744058609,27.4671077,-80.3129767
2016-06-16T16:10:26.480943918228,27.4671049,-80.31293681
2016-06-16T16:10:31.393629074097,27.46709339,-80.31288695
2016-06-16T16:10:36.420998096466,27.46709469,-80.31284535
2016-06-16T16:10:41.332019090652,27.467096,-80.31280376
2016-06-16T16:10:46.263735055923,27.46709249,-80.31275389
2016-06-16T16:10:51.259207010269,27.46708579,-80.3127123
2016-06-16T16:10:56.153939962387,27.46708299,-80.31267241
2016-06-16T16:11:01.149983882904,27.46708359,-80.31262084
2016-06-16T16:11:06.0507080554962,27.46707278,-80.31258095
2016-06-16T16:11:11.044774055481,27.46707338,-80.31252938
2016-06-16T16:11:15.944899082184,27.46707468,-80.31248779
2016-06-16T16:11:20.835463047028,27.46706727,-80.31243622
2016-06-16T16:11:25.833239078522,27.46706447,-80.31239633
